id	context	predictions	aggregatedPredictions	category
1	LEAD: As a writer and member of the gay community, and as a person diagnosed with AIDS, I am deeply ashamed of David Leavitt and his belated apology for not becoming involved in the fight against AIDS until now, until 1989, when ACT-UP became famous and it suddenly became fashionable to join the club (''The Way I Live Now,'' July 9).	[[0.177,0.584,0.192,0.029,0.018]]	[0.177,0.584,0.192,0.029,0.018]	negative
2	A city-owned building would be offered for sale to the Lesbian and Gay Community Services Center for use as a health, counseling and social facility, under a tentative agreement announced yesterday by city officials.	[[0.145,0.618,0.201,0.024,0.01]]	[0.145,0.618,0.201,0.024,0.01]	negative
3	He was a respected person in the black community and the gay community.	[[0.017,0.099,0.243,0.59,0.051]]	[0.017,0.099,0.243,0.59,0.051]	positive
4	hat such a rebuff to the homosexual community of New York could have occurred in this city, with its important gay community, attests to the power of an extreme moralism that flies in the face of reason and equity.	[[0.136,0.558,0.184,0.089,0.033]]	[0.136,0.558,0.184,0.089,0.033]	negative
5	LEAD: Mayor Edward I. Koch created an Office for the Lesbian and Gay Community yesterday and named Lee Hudson to lead it.	[[0.083,0.443,0.324,0.118,0.032]]	[0.083,0.443,0.324,0.118,0.032]	negative
6	LEAD: Appearing recently at the Lesbian and Gay Community Services Center in Greenwich Village, Governor Cuomo announced a proposed ban on AIDS testing for health insurance.	[[0.212,0.518,0.244,0.016,0.01]]	[0.212,0.518,0.244,0.016,0.01]	negative
7	LEAD: Today, when the ''Center Show'' opens at the Lesbian and Gay Community Services Center in Greenwich Village, the drab three-story building will be transformed by art.	[[0.211,0.598,0.164,0.015,0.012]]	[0.211,0.598,0.164,0.015,0.012]	negative
8	LEAD: The AIDS epidemic spread so far because initially no one took it seriously enough: Government, the media, researchers, blood banks and the gay community each found their own reasons to ignore or deny the threat.	[[0.282,0.546,0.152,0.01,0.01]]	[0.282,0.546,0.152,0.01,0.01]	negative
9	LEAD: Sheldon Andelson, a leader in the gay community and a fund-raiser for such politicians as Senator Edward M. Kennedy and Walter F. Mondale, died Tuesday of complications from AIDS.	[[0.295,0.472,0.212,0.012,0.009]]	[0.295,0.472,0.212,0.012,0.009]	negative
10	And, he concludes, the Reagan Administration, public health officials, the communications media and the leadership of the gay community all share the blame.	[[0.119,0.711,0.086,0.067,0.016]]	[0.119,0.711,0.086,0.067,0.016]	negative
11	This is another body blow to the gay community, which is already deeply shaken by the AIDS epidemic.	[[0.251,0.613,0.119,0.009,0.008]]	[0.251,0.613,0.119,0.009,0.008]	negative
12	As in years past, the event was a half carnival and half political rally, demonstrating what organizers called ''the diversity of the gay community'' and its interests.	[[0.077,0.689,0.205,0.024,0.005]]	[0.077,0.689,0.205,0.024,0.005]	negative
