id	context	predictions	aggregatedPredictions	category
4096	The case had been closely watched for several years as a potential vehicle for a new Supreme Court decision on gay rights.	[[0.073,0.626,0.268,0.027,0.006]]	[0.073,0.626,0.268,0.027,0.006]	negative
4097	We are tired of seeing gays represented only as buffoons or villains."	[[0.197,0.683,0.109,0.006,0.005]]	[0.197,0.683,0.109,0.006,0.005]	negative
4098	Police officials have classified as bias-related three, and possibly four, shootings of men in an area of Central Park known as a gathering place for gay men.	[[0.227,0.645,0.105,0.011,0.012]]	[0.227,0.645,0.105,0.011,0.012]	negative
4099	Perhaps the most depressing part of the last few weeks has been how predictably the politics of the military gay ban played itself out.	[[0.237,0.519,0.222,0.014,0.008]]	[0.237,0.519,0.222,0.014,0.008]	negative
4100	When Kelli Peterson, an articulate, likable lesbian high school student in Salt Lake City, founded an extracurricular organization called the Gay-Straight Alliance three years ago, she had no inkling of the storm of hysterical outrage that would erupt in her conservative hometown.	[[0.086,0.456,0.272,0.148,0.037]]	[0.086,0.456,0.272,0.148,0.037]	negative
4101	Hours after a gay group won the right to join the St. Patrick's Day parade that has been a tradition here for 92 years, organizers said today that they were canceling the parade, which had been scheduled for March 20.	[[0.079,0.265,0.148,0.385,0.122]]	[0.079,0.265,0.148,0.385,0.122]	positive
4102	Since Patrick J. Buchanan began broadcasting a commercial suggesting that the Bush Administration was too indulgent of homosexuality, he has been heckled and denounced by gay and lesbian groups, but only mildly.	[[0.266,0.526,0.19,0.009,0.009]]	[0.266,0.526,0.19,0.009,0.009]	negative
4103	The goal was simple: a civil exchange of views between two groups that disagree profoundly over gay rights in church and state.	[[0.106,0.578,0.221,0.073,0.021]]	[0.106,0.578,0.221,0.073,0.021]	negative
4104	In recent years, Channel 13 has aired over 20 hours of pro-gay propaganda, using taxpayer funds, while it refuses to air any material presenting the other side-- -the traditional Judeo-Christian viewpoint on the subject of homosexual activity.	[[0.165,0.715,0.097,0.019,0.005]]	[0.165,0.715,0.097,0.019,0.005]	negative
4105	An article on Saturday about the awarding of a St. Patrick's Day parade permit in Manhattan, to a sponsor agreeing to include lesbian and gay marchers, omitted a word in quoting Jack Irwin, a member of the national Hibernian organization.	[[0.303,0.578,0.076,0.019,0.024]]	[0.303,0.578,0.076,0.019,0.024]	negative
4106	Attorney General Dennis C. Vacco has settled a complaint that a union filed against him last spring, after he rescinded an executive order that banned discrimination against gay and lesbian workers in his office.	[[0.282,0.561,0.133,0.012,0.012]]	[0.282,0.561,0.133,0.012,0.012]	negative
4107	Mayor David Dinkins and other leading elected officials won't even join the march along Fifth Avenue, and for good reason: by banning a gay and lesbian organization, the parade sponsors are engaging in hateful discrimination.	[[0.247,0.595,0.134,0.012,0.012]]	[0.247,0.595,0.134,0.012,0.012]	negative
4108	But when his secretary found and turned in a copy of a memo he had written encouraging safe-sex rules for a party planned by Mr. Collins's gay sex club, executives at Shell and his employer, Triton Biosciences Inc. of Alameda, Calif., dismissed him.	[[0.133,0.642,0.199,0.019,0.008]]	[0.133,0.642,0.199,0.019,0.008]	negative
4109	To the Editor: Larry Kramer has gone too far in his criticism of a gay newspaper that accepted financial support from heterosexuals (news article, Oct. 22).	[[0.176,0.637,0.169,0.011,0.007]]	[0.176,0.637,0.169,0.011,0.007]	negative
4110	With hardly a whisper of protest, the school board in this Westchester County community stands ready to vote on Tuesday on a proposal that would prohibit discrimination against gay students.	[[0.201,0.526,0.253,0.012,0.008]]	[0.201,0.526,0.253,0.012,0.008]	negative
4111	The Clinton Administration is expected to waive the rule that bars foreigners with the AIDS virus from entering the United States to accommodate athletes and spectators planning to attend the Gay Games in New York in June, officials in several Federal agencies said today.	[[0.164,0.677,0.138,0.012,0.008]]	[0.164,0.677,0.138,0.012,0.008]	negative
4112	Ms. Fields's main opponent is Deborah J. Glick, an Assemblywoman from Greenwich Village seeking to become the highest-ranking openly gay elected official in New York City.	[[0.184,0.767,0.04,0.006,0.003]]	[0.184,0.767,0.04,0.006,0.003]	negative
4113	But tonight at a Columbia University stadium, Mr. Giuliani is scheduled to deliver a formal welcoming speech at the Gay Games.	[[0.134,0.697,0.134,0.024,0.011]]	[0.134,0.697,0.134,0.024,0.011]	negative
4114	The suit is the culmination of a lengthy three-way struggle among the Giuliani administration, the organizers of a march commemorating a 1969 gay-rights protest and a handful of more radical gay and lesbian groups that have insisted on holding a maverick march on Fifth Avenue.	[[0.335,0.607,0.049,0.005,0.005]]	[0.335,0.607,0.049,0.005,0.005]	negative
4115	In New York City, for instance, the 1993 Voter Research and Survey poll found that 8 percent of the electorate identified themselves as gay, lesbian or bisexual and that they had children in the schools in the same percentages as nongay people.	[[0.112,0.665,0.196,0.022,0.005]]	[0.112,0.665,0.196,0.022,0.005]	negative
4116	A New Jersey man who threw a can of beer at Mayor David N. Dinkins as he marched with a contingent of gay Irish in the St. Patrick's Day Parade has been sentenced to a week of duty in the Mayor's Office for the Lesbian and Gay Community.	[[0.144,0.599,0.219,0.027,0.011]]	[0.144,0.599,0.219,0.027,0.011]	negative
4117	A gay employee of the Federal Emergency Management Agency says he was pressured last year to provide a list of other homosexual workers to managers and security personnel, who maintained that they needed the information to help identify potential security risks at the agency.	[[0.274,0.563,0.14,0.011,0.012]]	[0.274,0.563,0.14,0.011,0.012]	negative
4118	Christine Quinn, the former executive director of the New York Gay and Lesbian Anti-Violence Project, handily won a special election yesterday to fill the City Council seat on the West Side of Manhattan vacated by State Senator Thomas K. Duane.	[[0.052,0.116,0.13,0.462,0.24]]	[0.052,0.116,0.13,0.462,0.24]	positive
4119	After saying that the ''horrific crime'' deserved ''the severest of punishments allowed by law,'' he volunteered: ''I could never accept 'gay panic' or any other excuse as grounds for what he did.''	[[0.231,0.716,0.046,0.004,0.004]]	[0.231,0.716,0.046,0.004,0.004]	negative
4120	Christopher Huizenga's recipe for a perfect Bloody Mary calls for Absolut vodka, a brand that is widely advertised in gay newspapers.	[[0.048,0.215,0.202,0.44,0.095]]	[0.048,0.215,0.202,0.44,0.095]	positive
4121	President Clinton is scheduled to meet with leaders of gay and lesbian groups on Friday in what they describe as a historic first.	[[0.123,0.56,0.208,0.078,0.031]]	[0.123,0.56,0.208,0.078,0.031]	negative
4122	A military judge today accepted the guilty plea of a United States Navy airman apprentice on charges that he murdered a gay shipmate, Allen R. Schindler, last year.	[[0.251,0.636,0.1,0.008,0.005]]	[0.251,0.636,0.1,0.008,0.005]	negative
4123	President Robert Mugabe delivered a stinging attack on homosexuals today at a book fair embroiled in controversy by the Government's ban of a gay-rights exhibit.	[[0.138,0.638,0.187,0.025,0.012]]	[0.138,0.638,0.187,0.025,0.012]	negative
4124	First openly gay member of the Board of Governors of the Reconstructionist Rabbinical College.	[[0.02,0.148,0.71,0.111,0.012]]	[0.02,0.148,0.71,0.111,0.012]	neutral
4125	Although she acknowledged, "I don't want my child raised like that," she says she is not trying to regain custody simply to prevent two gay men from adopting him.	[[0.124,0.613,0.231,0.025,0.007]]	[0.124,0.613,0.231,0.025,0.007]	negative
4126	Everything about this middle-class enclave seems typical of life in a Pocono Mountain resort except for one thing: nearly all the guests are gay.	[[0.092,0.567,0.312,0.023,0.006]]	[0.092,0.567,0.312,0.023,0.006]	negative
4127	LEAD: The New York City Council President, Andrew J. Stein, and leaders of the gay and lesbian community said yesterday that figures compiled by a gay organization show an upsurge in violence against gay men and lesbians.	[[0.168,0.565,0.217,0.033,0.017]]	[0.168,0.565,0.217,0.033,0.017]	negative
4128	An hour before the official procession sponsored by the Ancient Order of Hibernians stepped off, several hundred gay and lesbian Irish and their supporters held their own march, protesting the Hibernians' decision to exclude a gay group from the parade.	[[0.188,0.566,0.179,0.045,0.021]]	[0.188,0.566,0.179,0.045,0.021]	negative
4129	He showed it on a trip Thursday and Friday, exciting audiences of Hispanic business executives in San Diego, environmental enthusiasts in Los Angeles, Hollywood donors, high school students in Santa Monica and Fresno, gay and lesbian leaders and then bricklayers here, and finally Silicon Valley contributors in Los Altos, although the highlight of that last event might have been Tipper Gore sitting in on drums with a band descended from the Grateful Dead.	[[0.165,0.404,0.207,0.139,0.086]]	[0.165,0.404,0.207,0.139,0.086]	negative
4130	Mr. Clinton insisted that he had not changed his position that gay people should be allowed in the military, but that he was not ready to say how to implement this.	[[0.136,0.59,0.228,0.033,0.014]]	[0.136,0.59,0.228,0.033,0.014]	negative
4131	Berating the gay-rights movement, he observed, ''It's as if the road to Selma were also the road to Sodomy!''	[[0.109,0.635,0.207,0.036,0.013]]	[0.109,0.635,0.207,0.036,0.013]	negative
4132	In the bachelor's quarters at Fort Wadsworth, the naval station on Staten Island -- and at other military installations across the country -- the debate over allowing gay men and lesbians in the military raged as strongly as ever yesterday, the day after Defense Secretary Les Aspin spelled out the Pentagon's new rules on homosexuality.	[[0.117,0.611,0.176,0.078,0.019]]	[0.117,0.611,0.176,0.078,0.019]	negative
4133	Consider the Stepping Out Studio of Ballroom and Latin Dancing on Broadway and what has happened there in the year and a half since some students asked the management to organize special gay and lesbian classes.	[[0.181,0.616,0.157,0.026,0.019]]	[0.181,0.616,0.157,0.026,0.019]	negative
4134	A 25-year-old man, whose murder conviction in a celebrated 1991 "gay bashing" trial was overturned last year, pleaded guilty yesterday to a lesser charge of manslaughter.	[[0.33,0.547,0.102,0.009,0.012]]	[0.33,0.547,0.102,0.009,0.012]	negative
4135	The experience abroad suggests that gay soldiers can indeed function effectively in military units that are enlightened enough to accept their service.	[[0.05,0.45,0.442,0.049,0.008]]	[0.05,0.45,0.442,0.049,0.008]	negative
4136	In Copy's spirit, Lambda continues to fight for the right of all lesbian and gay military personnel to serve our country with honor, dignity, and equality.	[[0.006,0.015,0.054,0.73,0.195]]	[0.006,0.015,0.054,0.73,0.195]	positive
4137	Rather than being daunted by the campaign rhetoric, they are instead accelerating efforts at aiming sales messages at gay and lesbian consumers.	[[0.358,0.528,0.098,0.005,0.011]]	[0.358,0.528,0.098,0.005,0.011]	negative
4138	Charging that the Gay Men's Health Crisis was not sufficiently attuned to the needs of minority groups, three black members have resigned from the board of New York City's leading private AIDS organization.	[[0.115,0.589,0.246,0.035,0.015]]	[0.115,0.589,0.246,0.035,0.015]	negative
4139	With the acting head of the Connecticut State Police facing allegations that he abused his power and was insensitive to women and gay people, Gov. John G. Rowland said yesterday that he was withdrawing his nomination of the official for permanent appointment to the post.	[[0.154,0.541,0.232,0.056,0.018]]	[0.154,0.541,0.232,0.056,0.018]	negative
4140	Then the church's Congregation for the Doctrine of the Faith told them on July 13 that they were permanently prohibited from further pastoral work with gays and lesbians.	[[0.047,0.4,0.531,0.016,0.006]]	[0.047,0.4,0.531,0.016,0.006]	neutral
4141	Kaposi's is the most common cancer affecting gay men with AIDS, and one of the principal causes of death among that group.	[[0.18,0.59,0.201,0.018,0.011]]	[0.18,0.59,0.201,0.018,0.011]	negative
