# number of articles per decade
"1910s","1"
"1920s","4"
"1930s","34"
"1940s","48"
"1950s","163"
"1960s","868"
"1970s","2924"
"1980s","4125"
"1990s","3244"
"2000s","1818"
"2010s","1856"

# number of articles per year
"1914","1"
"1923","1"
"1926","1"
"1928","1"
"1929","1"
"1930","2"
"1931","1"
"1933","3"
"1934","3"
"1935","7"
"1936","1"
"1937","9"
"1938","4"
"1939","4"
"1940","2"
"1941","2"
"1942","1"
"1944","5"
"1945","4"
"1946","7"
"1947","12"
"1948","6"
"1949","9"
"1950","12"
"1951","18"
"1952","9"
"1953","12"
"1954","14"
"1955","25"
"1956","15"
"1957","18"
"1958","18"
"1959","22"
"1960","34"
"1961","36"
"1962","38"
"1963","53"
"1964","61"
"1965","82"
"1966","115"
"1967","149"
"1968","135"
"1969","165"
"1970","203"
"1971","205"
"1972","246"
"1973","310"
"1974","294"
"1975","299"
"1976","317"
"1977","420"
"1978","307"
"1979","324"
"1980","587"
"1981","265"
"1982","292"
"1983","322"
"1984","394"
"1985","466"
"1986","481"
"1987","579"
"1988","376"
"1989","363"
"1990","371"
"1991","318"
"1992","370"
"1993","513"
"1994","348"
"1995","303"
"1996","246"
"1997","206"
"1998","308"
"1999","261"
"2000","220"
"2001","182"
"2002","185"
"2003","195"
"2004","189"
"2005","164"
"2006","185"
"2007","213"
"2008","118"
"2009","167"
"2010","233"
"2011","191"
"2012","210"
"2013","244"
"2014","398"
"2015","321"
"2016","235"
"2017","24"
