id	context	predictions	aggregatedPredictions	category
1536	Many of the marchers carried placards urging ''Gay/Lesbian Vote '85,'' and two of the Democratic candidates for mayor - Mayor Koch and City Council President Carol Bellamy -joined the parade.	[[0.279,0.578,0.127,0.008,0.008]]	[0.279,0.578,0.127,0.008,0.008]	negative
1537	Among the tens of thousands of marchers were groups called Parents of Lesbians and Gays, Gay Teachers and Gay Psychologists.	[[0.117,0.62,0.209,0.039,0.015]]	[0.117,0.62,0.209,0.039,0.015]	negative
1538	For a seasoned reader, it offers some serendipitous moments in the history of female expression: two visions by the 17th-century spiritual autobiographer Jane Lead; speeches by Sojourner Truth, born into slavery in Ulster County, N.Y.; a funny story about childbirth, with Ghanian dialect, by Ama Ata Aidoo; a burgeoning tradition of spirited lesbian poems.	[[0.009,0.014,0.016,0.592,0.369]]	[0.009,0.014,0.016,0.592,0.369]	positive
1539	Judge Harper's ruling came after an 18-day trial in which there had been testimony about cocaine abuse, extra-marital affairs, incest, lesbianism and late-night seances.	[[0.117,0.581,0.23,0.051,0.02]]	[0.117,0.581,0.23,0.051,0.02]	negative
1540	They also seem to suggest, however, that society shows increasing acceptance of, and tolerance for, gay men and lesbians.	[[0.238,0.585,0.163,0.008,0.005]]	[0.238,0.585,0.163,0.008,0.005]	negative
1541	LEAD: Two Yale police officers will be disciplined for using ''poor judgment'' in arresting two people during a clash with the police at a conference on gay and lesbian studies in October, university officials said today.	[[0.136,0.581,0.215,0.046,0.022]]	[0.136,0.581,0.215,0.046,0.022]	negative
1542	LEAD: WHAT do an American comedy about child-rearing by a lesbian couple and a Russian docudrama dealing with the devastating effects of the 1986 nuclear disaster at Chernobyl have in common?	[[0.081,0.683,0.206,0.022,0.008]]	[0.081,0.683,0.206,0.022,0.008]	negative
1543	TELEVISION has generally been uneasy about lesbians.	[[0.092,0.496,0.317,0.072,0.023]]	[0.092,0.496,0.317,0.072,0.023]	negative
1544	LEAD: Twenty years after a police raid on a gay bar in Greenwich Village unleashed the pent-up anger of the homosexual community and started the modern gay-rights movement, homosexual men and lesbians say that laws, court decisions and changing attitudes have helped them move closer to the mainstream of society.	[[0.103,0.491,0.335,0.052,0.018]]	[0.103,0.491,0.335,0.052,0.018]	negative
1545	Now we must explore the contradictory ways in which women of color, white women, lesbians and heterosexual women view the issues."	[[0.004,0.048,0.881,0.063,0.004]]	[0.004,0.048,0.881,0.063,0.004]	neutral
1546	Diane Matthews, 25 years old, of South Portland, who was discharged from the Army's Reserve Officer Training Corps after she acknowledged that she was a lesbian, was ordered reinstated today by a United States Magistrate.	[[0.409,0.486,0.057,0.018,0.03]]	[0.409,0.486,0.057,0.018,0.03]	negative
1547	The conference was sponsored by the National Association of Gay and Lesbian Democratic Clubs and the Municipal Elections Committee of Los Angeles.	[[0.095,0.633,0.235,0.028,0.009]]	[0.095,0.633,0.235,0.028,0.009]	negative
