# number of articles per decade
"1970s","49"
"1980s","192"
"1990s","469"
"2000s","400"
"2010s","708"

# number of articles per year
"1970","1"
"1971","4"
"1973","3"
"1974","1"
"1975","6"
"1976","4"
"1977","14"
"1978","7"
"1979","9"
"1980","8"
"1981","6"
"1982","5"
"1983","10"
"1984","8"
"1985","19"
"1986","15"
"1987","47"
"1988","39"
"1989","35"
"1990","39"
"1991","55"
"1992","54"
"1993","67"
"1994","53"
"1995","46"
"1996","42"
"1997","44"
"1998","33"
"1999","36"
"2000","37"
"2001","42"
"2002","28"
"2003","29"
"2004","42"
"2005","21"
"2006","44"
"2007","54"
"2008","42"
"2009","61"
"2010","66"
"2011","86"
"2012","64"
"2013","92"
"2014","116"
"2015","109"
"2016","165"
"2017","10"
