id	context	predictions	aggregatedPredictions	category
3072	As an H.I.V.-negative member of the gay community, I have seen the passing of many men as a result of the AIDS epidemic.	[[0.062,0.456,0.272,0.183,0.026]]	[0.062,0.456,0.272,0.183,0.026]	negative
3073	The gay community will end up being treated like other market segments, with standard marketing and advertising techniques replacing the emotional judgments and token promotion that have been the rule.	[[0.116,0.624,0.203,0.044,0.013]]	[0.116,0.624,0.203,0.044,0.013]	negative
3074	Joseph Bruno, the new majority leader of the New York State Senate, has revealed a streak of intolerance and ignorance toward New York's gay community.	[[0.05,0.121,0.153,0.459,0.217]]	[0.05,0.121,0.153,0.459,0.217]	positive
3075	The forms, to be given out by the Mayor's Office for the Lesbian and Gay Community, the City Commission on Human Rights and dozens of gay groups, ask recipients if they have witnessed or experienced anti-homosexual crimes.	[[0.167,0.648,0.156,0.017,0.012]]	[0.167,0.648,0.156,0.017,0.012]	negative
3076	Instead, the Walt Disney Company posted signs outside the theme park explaining to visitors that "members of the gay community have chosen to visit the Magic Kingdom today in their recognition of Gay and Lesbian Pride Month" and that Disney "does not discriminate against anyone's right to visit the Magic Kingdom."	[[0.04,0.428,0.511,0.017,0.003]]	[0.04,0.428,0.511,0.017,0.003]	neutral
3077	Proceeds will benefit the Lesbian and Gay Community Services Center of New York.	[[0.071,0.356,0.339,0.187,0.047]]	[0.071,0.356,0.339,0.187,0.047]	negative
3078	The civilian board that oversees the Los Angeles Police Department ordered Chief Daryl F. Gates today to allow two homosexual officers to appear in uniform as they recruit prospective officers at a gay community event this weekend.	[[0.171,0.647,0.149,0.021,0.012]]	[0.171,0.647,0.149,0.021,0.012]	negative
3079	A recent survey of gay and bisexual men in New York City showed encouraging evidence that many members of the gay community are acting responsibly to reduce the risk of H.I.V. infection.	[[0.092,0.409,0.262,0.186,0.051]]	[0.092,0.409,0.262,0.186,0.051]	negative
3080	Their use of the word has created a rift in the gay community, alienating many older members haunted by its pejorative connotations.	[[0.265,0.535,0.105,0.052,0.043]]	[0.265,0.535,0.105,0.052,0.043]	negative
3081	A party to trim a tree designed by Louis Collazo will be held on Dec. 19 from 5 to 8 P.M. Proceeds will benefit the Lesbian and Gay Community Services Center, a nonprofit organization.	[[0.311,0.558,0.084,0.022,0.025]]	[0.311,0.558,0.084,0.022,0.025]	negative
3082	To the Editor: It is distressing that some among New York City's ''best-known gay journalists, artists and academics'' believe that, aside from sexuality, the gay community has ''almost nothing else that brings us together'' (Week in Review, Nov. 23).	[[0.237,0.553,0.195,0.009,0.006]]	[0.237,0.553,0.195,0.009,0.006]	negative
3083	Judith E. Turkel, Esq President Richard D. Burns, Esq Executive Director Michael Seltzer Board Co-Chair Janet Weinberg Board Co-Chair Lesbian & Gay Community Services Center COOPERBERG - Irving.	[[0.311,0.584,0.06,0.016,0.028]]	[0.311,0.584,0.06,0.016,0.028]	negative
3084	The resolution, passed last August by the Cobb County Commission, said among other things "that the life style advocated by the gay community should not be endorsed by government policy makers because they are incompatible with the standards to which this community subscribes."	[[0.139,0.605,0.208,0.033,0.016]]	[0.139,0.605,0.208,0.033,0.016]	negative
3085	Memorial service Saturday May 16, 2-5PM at the Lesbian and Gay Community Center, 208 West 13th Street, New York City.	[[0.302,0.64,0.051,0.003,0.004]]	[0.302,0.64,0.051,0.003,0.004]	negative
3086	The Board, Staff and Volunteers of the Lesbian and Gay Community Services Center mourn the passing of our dear friend Norman White.	[[0.198,0.634,0.098,0.04,0.03]]	[0.198,0.634,0.098,0.04,0.03]	negative
3087	Steven J. Powsner, a founder and former president of the Lesbian and Gay Community Services Center in Greenwich Village, died on Monday at his home in Manhattan.	[[0.475,0.426,0.082,0.005,0.012]]	[0.475,0.426,0.082,0.005,0.012]	very negative
3088	That discovery has roiled the gay community of Indianapolis and shocked residents of the expensive neighborhood, where Herbert R. Baumeister lived on the estate with his wife and three children.	[[0.133,0.566,0.212,0.068,0.021]]	[0.133,0.566,0.212,0.068,0.021]	negative
3089	Think, and Eat, Duck TUESDAY -- The Lesbian and Gay Community Services Center will benefit from a Duck Festival at the New Deal Restaurant, 133 West 13th Street.	[[0.143,0.334,0.136,0.23,0.158]]	[0.143,0.334,0.136,0.23,0.158]	negative
3090	Since their victories in 1991, Mr. Pagan and Mr. Duane have been locked in a bitter rivalry that has polarized the Council, cleaved the city's gay community and confounded even the most seasoned political observers. ''	[[0.058,0.58,0.342,0.016,0.004]]	[0.058,0.58,0.342,0.016,0.004]	negative
3091	Block Party June 24 -- A block party at 6:30 P.M. on West 13th Street, between Greenwich and Seventh Avenues in Greenwich Village, with entertainment, food and an auction, will benefit the Lesbian and Gay Community Services Center, 208 West 13th Street.	[[0.248,0.609,0.12,0.012,0.011]]	[0.248,0.609,0.12,0.012,0.011]	negative
3092	On Wednesday night, at the Lesbian and Gay Community Center on West 13th Street, nearly 100 people gathered for a forum about the new zoning proposal, which limits sex businesses to manufacturing areas and commercial zones and is expected to initially reduce the number of such businesses to 15 from 177.	[[0.113,0.676,0.186,0.02,0.005]]	[0.113,0.676,0.186,0.02,0.005]	negative
3093	Joan Rivers and Friends TUESDAY -- Joan Rivers and several other comedians will perform at Town Hall to raise funds for the Lesbian and Gay Community Services Center in Greenwich Village.	[[0.241,0.642,0.104,0.007,0.006]]	[0.241,0.642,0.104,0.007,0.006]	negative
