id	context	predictions	aggregatedPredictions	category
28	After 30 minutes of debate, the 1,300 delegates representing the Protestant denomination's 175,000 members voted overwhelmingly by voice vote to affirm ''the growing practice of some of its ministers of conducting services of union of gay and lesbian couples.''	[[0.216,0.559,0.199,0.016,0.01]]	[0.216,0.559,0.199,0.016,0.01]	negative
29	LEAD: The Rev. James E. Sandmire, one of California's best-known gay rights leaders, died of complications from AIDS Friday at San Francisco General Hospital.	[[0.262,0.516,0.2,0.013,0.009]]	[0.262,0.516,0.2,0.013,0.009]	negative
30	LEAD: Several hundred gay and lesbian leaders will gather here tomorrow for a three-day conference on strategies for their civil rights movement.	[[0.148,0.653,0.177,0.014,0.008]]	[0.148,0.653,0.177,0.014,0.008]	negative
31	The Gentleman from Maryland: The Conscience of a Gay Conservative'' is to be published by Arbor House in mid-summer, and excerpts will appear in The Washingtonian magazine in July, along with a profile of the author by Rudy Maxa.	[[0.286,0.57,0.126,0.008,0.009]]	[0.286,0.57,0.126,0.008,0.009]	negative
32	Yes, but only if he quits calling himself ''gay'' and starts saying ''homosexual.''	[[0.086,0.656,0.242,0.012,0.004]]	[0.086,0.656,0.242,0.012,0.004]	negative
33	A city-owned building would be offered for sale to the Lesbian and Gay Community Services Center for use as a health, counseling and social facility, under a tentative agreement announced yesterday by city officials.	[[0.145,0.618,0.201,0.024,0.01]]	[0.145,0.618,0.201,0.024,0.01]	negative
34	Certainly our opponents on the right are using AIDS as the lightning rod for attracting support that might not otherwise be there,'' said Jeffrey Levi, director of governmental affairs of the National Gay Task Force. ''	[[0.143,0.789,0.057,0.007,0.005]]	[0.143,0.789,0.057,0.007,0.005]	negative
35	LEAD: Dr. Thomas F. Waddell, one of the founders of the Gay Games for homosexual athletes in 1982 and a sixth-place finisher in the decathlon at the Olympic Games in 1968, died at his home in San Francisco Saturday morning.	[[0.229,0.516,0.224,0.019,0.012]]	[0.229,0.516,0.224,0.019,0.012]	negative
36	Archbishop John Roach, a former president of the National Conference of Bishops, on Friday denied the use of St. Patrick's Catholic Church for the conference, to be sponsored by the Catholic Coalition for Gay Civil Rights.	[[0.446,0.424,0.103,0.01,0.018]]	[0.446,0.424,0.103,0.01,0.018]	very negative
37	Moreover, gay-rights advocates say, the incidents are becoming more violent.	[[0.091,0.506,0.287,0.089,0.027]]	[0.091,0.506,0.287,0.089,0.027]	negative
38	LEAD: Mayor Edward I. Koch created an Office for the Lesbian and Gay Community yesterday and named Lee Hudson to lead it.	[[0.083,0.443,0.324,0.118,0.032]]	[0.083,0.443,0.324,0.118,0.032]	negative
39	Contrary to what the gays might say, we are not a couple of Bible-thumping idiots who parked our brains outside of the Legislature before enacting this.''	[[0.151,0.6,0.208,0.028,0.013]]	[0.151,0.6,0.208,0.028,0.013]	negative
40	LEAD: The issue of homosexuality remains distasteful to many in Congress, as demonstrated by the overwhelming vote in the House on Tuesday permitting members to refuse to hire anyone whose life style they decide is unacceptable, a framework interpreted as including men and women who are gay.	[[0.346,0.431,0.191,0.02,0.012]]	[0.346,0.431,0.191,0.02,0.012]	negative
41	Mayor Koch said selling the building was one of ''a number of steps to be taken by the city to combat AIDS and other health problems that have particularly affected the gay and lesbian community.'' ''	[[0.088,0.531,0.322,0.044,0.015]]	[0.088,0.531,0.322,0.044,0.015]	negative
42	LEAD: A Queens man was reported in critical condition yesterday after he was stabbed in the neck in Central Park during a scuffle with 10 youths that the police said was marked by anti-gay epithets.	[[0.108,0.487,0.3,0.078,0.026]]	[0.108,0.487,0.3,0.078,0.026]	negative
43	LEAD: The votes of gay and lesbian New Yorkers are being courted as never before in the municipal primary campaign, gay rights advocates and political leaders say.	[[0.157,0.621,0.196,0.015,0.01]]	[0.157,0.621,0.196,0.015,0.01]	negative
44	LEAD: The United States Postal Service has approved a special cancellation to commemorate an anti-police riot in Greenwich Village by patrons of a bar catering to homosexuals, the Gay and Lesbian Alliance Against Defamation Inc. announced yesterday.	[[0.153,0.557,0.245,0.03,0.015]]	[0.153,0.557,0.245,0.03,0.015]	negative
45	LEAD: Those who have questions about the test for AIDS virus infection, or who need information to help determine if they are at risk of AIDS infection, can call the New York City Health Department at 718-485-8111 or the Gay Men's Health Crisis at 212-807-6655, or they can ask for the counseling service of the Greater New York Blood	[[0.044,0.347,0.519,0.074,0.016]]	[0.044,0.347,0.519,0.074,0.016]	neutral
46	A Federal appeals court said yesterday that up to 25 members of a homosexual-rights group could demonstrate on the sidewalk in front of St. Patrick's Cathedral for 30 minutes during the annual Gay Pride Parade tomorrow.	[[0.032,0.116,0.18,0.551,0.122]]	[0.032,0.116,0.18,0.551,0.122]	positive
47	The state Attorney General's office has decided not to prosecute a Dartmouth College student who secretly tape-recorded a meeting of the Gay Students Association and published excerpts in an unofficial campus newspaper.	[[0.033,0.284,0.602,0.071,0.009]]	[0.033,0.284,0.602,0.071,0.009]	neutral
48	Government Intervention Asked One of the main speakers at the conference, which continues today and tomorrow and is being sponsored by the privately financed National Gay Health Education Foundation, was Arthur Felson, a founder and leader of People with AIDS-New York.	[[0.367,0.501,0.107,0.009,0.016]]	[0.367,0.501,0.107,0.009,0.016]	negative
