id	context	predictions	aggregatedPredictions	category
73	"I don't know if I see myself as a hero," said Mr. Meinhold, a 30-year-old petty officer discharged by the Navy in August after he declared his homosexuality on national television.	[[0.155,0.61,0.144,0.071,0.021]]	[0.155,0.61,0.144,0.071,0.021]	negative
74	LEAD: On the eve of a major international AIDS conference in San Francisco, the Immigration and Naturalization service is preparing to invoke a little-enforced law that bars the entry of homosexuals to the United States as sexual deviants, agency officials say.	[[0.194,0.605,0.181,0.012,0.008]]	[0.194,0.605,0.181,0.012,0.008]	negative
75	Upon learning that a son or daughter is homosexual, each parent struggles first to understand, then to accept and finally to join with other parents to help better the lives of their beloved gay and lesbian children.	[[0.102,0.48,0.206,0.167,0.045]]	[0.102,0.48,0.206,0.167,0.045]	negative
76	FRED KOHN remembers a time not so long ago when he could not say "gay" at Eastern Airlines to describe the tours he discreetly booked for groups of homosexual travelers.	[[0.187,0.605,0.17,0.023,0.015]]	[0.187,0.605,0.17,0.023,0.015]	negative
77	If homosexuals do affirm their status, even by simply saying "I am gay" or "I have a homosexual orientation," they can be discharged, whether or not they have ever engaged in or intend to engage in homosexual acts.	[[0.12,0.598,0.195,0.068,0.019]]	[0.12,0.598,0.195,0.068,0.019]	negative
78	A Pentagon panel appointed to devise ways to allow homosexuals to serve in the military has proposed two plans, one of which would keep many parts of the current ban, senior Defense Department officials said today.	[[0.25,0.606,0.094,0.025,0.025]]	[0.25,0.606,0.094,0.025,0.025]	negative
79	The 90-minute drama, which opens the new season of the Atlantic Theater Company (336 West 20th Street, Chelsea), is a corrosive, downbeat story of three lost souls connected through the demimonde of homosexual street hustling.	[[0.438,0.423,0.115,0.007,0.016]]	[0.438,0.423,0.115,0.007,0.016]	very negative
80	LEAD: When homosexuals are treated here for what most Chinese doctors regard as their mental illness, they are sometimes given painful electric shocks to discourage erotic thoughts.	[[0.113,0.526,0.311,0.035,0.014]]	[0.113,0.526,0.311,0.035,0.014]	negative
81	He said he believed it was possible that he contracted the disease during a homosexual relationship several years ago.	[[0.103,0.531,0.188,0.142,0.035]]	[0.103,0.531,0.188,0.142,0.035]	negative
82	The policy, a product of months of tense negotiations between the White House, the military and Congress, struck a compromise between the half-century-old ban on homosexuals and Mr. Clinton's 1992 campaign pledge to eliminate it.	[[0.193,0.559,0.141,0.065,0.042]]	[0.193,0.559,0.141,0.065,0.042]	negative
