# number of articles per decade
"1850s","2"
"1870s","7"
"1880s","7"
"1890s","5"
"1900s","4"
"1910s","11"
"1920s","11"
"1930s","15"
"1940s","7"
"1950s","20"
"1960s","146"
"1970s","698"
"1980s","965"
"1990s","3472"
"2000s","3982"
"2010s","5897"

# number of articles per year
"1852","1"
"1853","1"
"1871","1"
"1872","1"
"1875","1"
"1876","3"
"1879","1"
"1880","3"
"1881","1"
"1882","2"
"1886","1"
"1890","2"
"1894","1"
"1895","1"
"1898","1"
"1903","2"
"1907","2"
"1912","2"
"1913","4"
"1914","1"
"1916","2"
"1917","2"
"1920","1"
"1921","2"
"1922","1"
"1925","4"
"1928","2"
"1929","1"
"1931","1"
"1932","2"
"1933","3"
"1935","1"
"1936","2"
"1937","3"
"1938","3"
"1945","1"
"1946","1"
"1947","4"
"1949","1"
"1950","2"
"1951","1"
"1952","5"
"1954","3"
"1955","3"
"1956","2"
"1957","1"
"1959","3"
"1960","3"
"1961","7"
"1962","4"
"1963","6"
"1964","5"
"1965","10"
"1966","33"
"1967","24"
"1968","21"
"1969","33"
"1970","40"
"1971","44"
"1972","49"
"1973","65"
"1974","53"
"1975","54"
"1976","86"
"1977","121"
"1978","90"
"1979","96"
"1980","107"
"1981","70"
"1982","53"
"1983","59"
"1984","85"
"1985","89"
"1986","93"
"1987","134"
"1988","125"
"1989","150"
"1990","197"
"1991","246"
"1992","397"
"1993","518"
"1994","424"
"1995","363"
"1996","327"
"1997","376"
"1998","320"
"1999","304"
"2000","374"
"2001","287"
"2002","246"
"2003","322"
"2004","398"
"2005","383"
"2006","501"
"2007","469"
"2008","441"
"2009","561"
"2010","585"
"2011","625"
"2012","514"
"2013","636"
"2014","1200"
"2015","1160"
"2016","1064"
"2017","113"
