# number of articles per year
"1960s","7"
"1970s","139"
"1980s","84"
"1990s","173"
"2000s","332"
"2010s","494"

# number of articles per year
"1966","2"
"1967","1"
"1968","1"
"1969","3"
"1970","5"
"1971","1"
"1972","3"
"1973","7"
"1974","14"
"1975","7"
"1976","22"
"1977","51"
"1978","17"
"1979","12"
"1980","14"
"1981","6"
"1982","10"
"1983","6"
"1984","6"
"1985","6"
"1986","12"
"1987","11"
"1988","8"
"1989","5"
"1990","3"
"1991","8"
"1992","3"
"1993","17"
"1994","22"
"1995","16"
"1996","16"
"1997","18"
"1998","24"
"1999","46"
"2000","31"
"2001","27"
"2002","23"
"2003","22"
"2004","38"
"2005","31"
"2006","56"
"2007","36"
"2008","27"
"2009","41"
"2010","30"
"2011","125"
"2012","71"
"2013","72"
"2014","106"
"2015","56"
"2016","29"
"2017","5"
