id	context	predictions	aggregatedPredictions	category
5714	Queer Nation is a gay-rights group that promotes its goals through street actions.	[[0.048,0.175,0.234,0.425,0.118]]	[0.048,0.175,0.234,0.425,0.118]	positive
5715	But the company's president and chief executive, Dan W. Evins, said he had no intention of meeting with members of Queer Nation, which has led demonstrations and a publicity campaign against the company.	[[0.128,0.564,0.164,0.113,0.032]]	[0.128,0.564,0.164,0.113,0.032]	negative
5716	Queer space, a term that has been floating around architectural circles in recent months, takes the struggle out of the street and into the closet, so to speak, or at least into the tiny New York gallery Storefront for Art and Architecture (at 97 Kenmare Street), where a show of 13 new projects by architects and artists on the theme of "queer space" opened yesterday.	[[0.266,0.564,0.105,0.033,0.032]]	[0.266,0.564,0.105,0.033,0.032]	negative
5717	Ms. Sedgwick, 47, was sitting in the shadows at a restaurant in midtown Manhattan and trying to explain ''queer theory,'' the academic field she has helped create.	[[0.153,0.547,0.2,0.067,0.033]]	[0.153,0.547,0.2,0.067,0.033]	negative
5718	During one section of his new, uninhibited monologue, "My Queer Body," Tim Miller is naked to the world, or rather to the 93 people who by his count fill the seats at Performance Space 122.	[[0.064,0.585,0.275,0.065,0.01]]	[0.064,0.585,0.275,0.065,0.01]	negative
5719	QUEER IN AMERICA Sex, the Media, and the Closets of Power.	[[0.063,0.183,0.139,0.445,0.17]]	[0.063,0.183,0.139,0.445,0.17]	positive
5720	"Queer," a word long bandied in schoolyards and bars as a taunt, has acquired a new meaning: it has been adopted, proudly and defiantly, by a new generation of young militants.	[[0.07,0.171,0.124,0.439,0.195]]	[0.07,0.171,0.124,0.439,0.195]	positive
5721	"So many lesbian and gay services are concentrated in Chelsea and the Village," said the center's administrator, Joo-Hyun Kang, of East Flatbush, "and that's not where most queer people of color live."	[[0.298,0.609,0.081,0.006,0.005]]	[0.298,0.609,0.081,0.006,0.005]	negative
5722	With some accuracy he has characterized himself as "the all-American queer Jimmy Stewart."	[[0.046,0.411,0.444,0.084,0.014]]	[0.046,0.411,0.444,0.084,0.014]	neutral
5723	AN advocate of gay rights muses on his "point of origin swimming upstream as a queer spermlet."	[[0.136,0.802,0.055,0.004,0.003]]	[0.136,0.802,0.055,0.004,0.003]	negative
5724	"I just don't get it -- 'queer' is the word they used to torture us with."	[[0.15,0.684,0.15,0.011,0.006]]	[0.15,0.684,0.15,0.011,0.006]	negative
5725	Late last month, Tim Miller's autobiographical "My Queer Body," at Performance Space 122, candidly depicted the experience of growing up as an outspoken, politically minded homosexual.	[[0.063,0.422,0.29,0.193,0.032]]	[0.063,0.422,0.29,0.193,0.032]	negative
5726	Todd Verow's harshly repellent film adaptation of Dennis Cooper's novel "Frisk" may be the ne plus ultra of the experimental gay cinema known as queercore.	[[0.189,0.699,0.098,0.007,0.007]]	[0.189,0.699,0.098,0.007,0.007]	negative
5727	Rather, he talks fervently of bringing together his work as a computer executive and his politics with the founding of Digital Queers, a group dedicated to promoting gay and lesbian workplace concerns while using its members' skills and connections to build a high-tech infrastructure for gay America.	[[0.135,0.779,0.06,0.017,0.009]]	[0.135,0.779,0.06,0.017,0.009]	negative
5728	On Our Backs was very defiant, saying, 'We're queer and we're sexual,' '' she said. ''	[[0.137,0.612,0.21,0.033,0.008]]	[0.137,0.612,0.21,0.033,0.008]	negative
5729	The department's biggest names included Stanley Fish, its flamboyant chairman in those days; Frank Lentricchia, whom The Village Voice once called ''the Dirty Harry of contemporary critical theory;'' Eve Kosovsky Sedgwick, the co-founder of the growing academic field of ''queer theory,'' and, fleetingly, Henry Louis Gates Jr., now the ubiquitous chairman of Afro-American studies at Harvard.	[[0.207,0.592,0.154,0.033,0.014]]	[0.207,0.592,0.154,0.033,0.014]	negative
5730	It was called ''Queer as Folk,'' and it set out to venture where British television had not gone before, chronicling the lives and loves of a trio of gay men from Manchester who were not role models, victims or martyrs.	[[0.245,0.579,0.158,0.011,0.008]]	[0.245,0.579,0.158,0.011,0.008]	negative
